t[s],x_t,y_t,A_sample,A_mean,A_var,A_max,A_min,macro_step_time[s]
1202.0,32000.0,32000.0,0.8783481038576345,0.011692863732965266,0.005012141860095898,0.8783481038576344,-0.002071063927493162,0.08556962013244629
1262.0,33000.0,33000.0,0.8675993578825065,0.011619602136236145,0.004950050957626256,0.8675993578825064,-0.0021355071733546427,0.058550119400024414
1322.0,33000.0,33000.0,0.8655175246308494,0.011546627752031996,0.004888735873909443,0.8655175246308493,-0.0021926994577041296,0.11528778076171875
1382.0,34000.0,34000.0,0.8602951757636225,0.011473940642931155,0.004828186843198547,0.8602951757636224,-0.002239440210394191,0.060712575912475586
1442.0,34000.0,34000.0,0.8502328530244592,0.011401541047430332,0.004768394217274314,0.8502328530244591,-0.0022844445153884386,0.08096909523010254
1502.0,35000.0,35000.0,0.8503941206948475,0.011329429322860034,0.004709348465617422,0.8503941206948475,-0.0023268217215971824,0.07163333892822266
1562.0,36000.0,36000.0,0.8399739841145137,0.011257605773761104,0.0046510401785999494,0.8399739841145136,-0.0023596488369656554,0.06919980049133301
1622.0,36000.0,36000.0,0.8380014930810679,0.011186070539297514,0.004593460069055924,0.8380014930810677,-0.0023874901528165766,0.05762028694152832
1682.0,37000.0,37000.0,0.8329074447990323,0.011114823632573394,0.004536598969806935,0.8329074447990322,-0.002416762405721055,0.09088921546936035
1742.0,37000.0,37000.0,0.8232433979152193,0.011043865073199882,0.004480447828760424,0.8232433979152192,-0.002437983637148169,0.07708740234375
1802.0,38000.0,38000.0,0.8233385438289389,0.010973194978855802,0.004424997705151152,0.8233385438289388,-0.0024523196615487716,0.08552813529968262
1862.0,39000.0,39000.0,0.813237357398261,0.010902813538536539,0.0043702397689244984,0.8132373573982609,-0.0024705563923698446,0.0755312442779541
1922.0,39000.0,39000.0,0.8113684290109001,0.010832720908920018,0.0043161653021126355,0.8113684290109,-0.0024820130302016285,0.0605168342590332
1982.0,40000.0,40000.0,0.8064004366488056,0.010762917139554204,0.004262765699411743,0.8064004366488055,-0.0024877453370345105,0.08227252960205078
2042.0,40000.0,40000.0,0.797118218066255,0.010693402191712699,0.00421003246630261,0.7971182180662549,-0.002495111170395363,0.06138277053833008
2102.0,41000.0,41000.0,0.7971521559969681,0.010624176021310031,0.004157957215542495,0.797152155996968,-0.0024989970852330335,0.05726933479309082
2162.0,42000.0,42000.0,0.7873605179271654,0.010555238641451534,0.004106531664240961,0.7873605179271653,-0.002498477387509443,0.21069002151489258
2222.0,42000.0,42000.0,0.7855896823979853,0.010486590109829188,0.004055747632905055,0.7855896823979852,-0.0024978584271927984,0.14177680015563965
2282.0,43000.0,43000.0,0.7807454780507933,0.010418230462252287,0.00400559704585568,0.7807454780507932,-0.002495852570772722,0.05752968788146973
2342.0,43000.0,43000.0,0.7718293520227691,0.010350159660538562,0.003956071931246128,0.771829352022769,-0.002490562636070094,0.08078551292419434
2402.0,44000.0,44000.0,0.7718067036150675,0.010282377601359043,0.003907164419521108,0.7718067036150674,-0.0024844717703087485,0.0756692886352539
2462.0,45000.0,45000.0,0.762315464545501,0.010214884170718657,0.003858866740751826,0.7623154645455009,-0.002478267487004324,0.06010723114013672
2522.0,45000.0,45000.0,0.7606375449731576,0.010147679288397611,0.0038111712222753725,0.7606375449731575,-0.002469743898831026,0.08195090293884277
2582.0,46000.0,46000.0,0.7559148433328726,0.010080762902499088,0.00376407028761911,0.7559148433328725,-0.002460183117317122,0.07639026641845703
2642.0,46000.0,46000.0,0.7473497535762887,0.010014134945071182,0.0037175564563950375,0.7473497535762886,-0.0024509788747757374,0.06453561782836914
2702.0,47000.0,47000.0,0.7472748644717079,0.009947795294610689,0.0036716223440043127,0.7472748644717078,-0.002440191223435325,0.14681196212768555
2762.0,48000.0,48000.0,0.738075122402301,0.009881743779715615,0.0036262606603216776,0.7380751224023009,-0.002428540476805466,0.05721426010131836
2822.0,48000.0,48000.0,0.7364852188116902,0.009815980216124422,0.003581464207586929,0.73648521881169,-0.0024174264336534064,0.09344983100891113
2882.0,49000.0,49000.0,0.7318817225360046,0.00975050443918918,0.0035372258784513704,0.7318817225360045,-0.0024053088299733814,0.08496952056884766
2942.0,49000.0,49000.0,0.7236532614271841,0.009685316302184704,0.003493538654885311,0.723653261427184,-0.002392542878284649,0.059747934341430664
3002.0,50000.0,50000.0,0.7235302165234145,0.00962041564583234,0.0034503956077850065,0.7235302165234144,-0.0023802120874769667,0.0975642204284668
3062.0,51000.0,51000.0,0.7146133117209003,0.009555802270671135,0.0034077898965004364,0.7146133117209003,-0.0023672712686354847,0.1374521255493164
3122.0,51000.0,51000.0,0.7131067859874977,0.00949147593794613,0.003365714767681361,0.7131067859874977,-0.002353962533102331,0.05589103698730469
3182.0,52000.0,52000.0,0.7086201906313866,0.00942743639541717,0.0033241635535542846,0.7086201906313866,-0.002341004451983087,0.0592348575592041
3242.0,52000.0,52000.0,0.7007145698650006,0.009363683401588245,0.0032831296702722215,0.7007145698650006,-0.002327724184747823,0.09746479988098145
3302.0,53000.0,53000.0,0.7005472077542136,0.009300216726014176,0.0032426066168527137,0.7005472077542135,-0.0023142492591694225,0.059496164321899414
3362.0,54000.0,54000.0,0.6919047176450382,0.009237036127944485,0.003202587974627761,0.6919047176450381,-0.0023009841619643103,0.09547734260559082
