t[s],x_t,y_t,A_sample,A_mean,A_var,A_max,A_min,macro_step_time[s],A_sample_noisy,A_mean_noisy,A_max_noisy,A_min_noisy
602.0,26000.0,26000.0,0.9370731783944092,0.0124412162618476,0.0056779608764121,0.9370731783944092,-0.0011297214721408,0.0805232524871826,0.9428692889153195,0.015339271522302779,0.9417100668111374,0.003507166944587487
662.0,27000.0,27000.0,0.9256371812715736,0.0123650989820067,0.0056075464051056,0.9256371812715736,-0.0012509474612833,0.0593171119689941,0.9282181393809,0.013655578036669943,0.9277019477590348,0.0008138190261778894
722.0,27000.0,27000.0,0.9233179952255676,0.0122892649917557,0.0055380125390701,0.9233179952255672,-0.0013696570525206,0.0586616992950439,0.9265563815243757,0.01390845814115976,0.9259087042646137,0.001221051986525897
782.0,28000.0,28000.0,0.917832436372169,0.0122137153648062,0.0054693481826667,0.9178324363721688,-0.0014773942211004,0.1644947528839111,0.925323558377764,0.01595927636760372,0.9238253339766449,0.004515503383375628
842.0,28000.0,28000.0,0.9069212005107022,0.0121384509442467,0.0054015423837323,0.906921200510702,-0.0015783423342004,0.0580365657806396,0.9174657435623069,0.017410722470049066,0.9153568349519858,0.006857292107083383
902.0,29000.0,29000.0,0.9072307077077026,0.0120634720104285,0.005334584340794,0.9072307077077024,-0.0016799880457164,0.0748214721679687,0.9195259884202517,0.018211112366703003,0.9170669322777416,0.008156236524322803
962.0,30000.0,30000.0,0.8961434306627184,0.0119887784987641,0.0052684633955979,0.8961434306627184,-0.0017704799760288,0.0966744422912597,0.9100791303562247,0.018956628345517215,0.9072919904175234,0.009378079778776185
1022.0,30000.0,30000.0,0.8939461479459755,0.0119143704504582,0.0052031690194622,0.8939461479459755,-0.001850368141424,0.0589032173156738,0.9104666633619952,0.02017462815846808,0.9071625602787913,0.011366044191391807
1082.0,31000.0,31000.0,0.8885932834051299,0.0118402482542132,0.0051386908053071,0.8885932834051298,-0.0019355707865565,0.0603699684143066,0.904531622390091,0.019809417746693734,0.9013439545930986,0.010815100401412354
1142.0,31000.0,31000.0,0.8781154914859806,0.0117664125135068,0.0050750184697599,0.8781154914859804,-0.0020090744603676,0.1527590751647949,0.8940736271194816,0.019745480330257303,0.8908819999927813,0.010757434046433206
1202.0,32000.0,32000.0,0.8783481038576345,0.0116928637329652,0.0050121418600958,0.8783481038576344,-0.0020710639274931,0.0855696201324462,0.8947547915246458,0.01989620756647084,0.8914734539912434,0.011054286206115928
1262.0,33000.0,33000.0,0.8675993578825065,0.0116196021362361,0.0049500509576262,0.8675993578825064,-0.0021355071733546,0.0585501194000244,0.885347330413103,0.02049358840153432,0.8817977359069835,0.012062870851122552
1322.0,33000.0,33000.0,0.8655175246308494,0.0115466277520319,0.0048887358739094,0.8655175246308493,-0.0021926994577041,0.1152877807617187,0.884313044326615,0.02094438759991469,0.8805539403874617,0.012843716298908363
1382.0,34000.0,34000.0,0.8602951757636225,0.0114739406429311,0.0048281868431985,0.8602951757636224,-0.0022394402103941,0.0607125759124755,0.878412780684878,0.020532743103558865,0.8747892597006268,0.012254643726610327
1442.0,34000.0,34000.0,0.8502328530244592,0.0114015410474303,0.0047683942172743,0.8502328530244591,-0.0022844445153884,0.0809690952301025,0.8680831440504061,0.02032668656040375,0.8645130858452166,0.011995788305369121
1502.0,35000.0,35000.0,0.8503941206948475,0.01132942932286,0.0047093484656174,0.8503941206948475,-0.0023268217215971,0.0716333389282226,0.8706085152515471,0.021436626601209804,0.8665656363402072,0.01384469392376259
1562.0,36000.0,36000.0,0.8399739841145137,0.0112576057737611,0.0046510401785999,0.8399739841145136,-0.0023596488369656,0.069199800491333,0.8605454055931072,0.021543316513057856,0.8564311212973884,0.01409748834590921
1622.0,36000.0,36000.0,0.8380014930810679,0.0111860705392975,0.0045934600690559,0.8380014930810677,-0.0023874901528165,0.0576202869415283,0.856874900881421,0.020622774439474117,0.8531002193213504,0.012711236087466087
1682.0,37000.0,37000.0,0.8329074447990323,0.0111148236325733,0.0045365989698069,0.8329074447990322,-0.002416762405721,0.0908892154693603,0.8490919776389346,0.01920709005252443,0.845855071070954,0.010530863866200807
