t,A_sample_noisy,A_sample_lag1,delta_y,delta_y_lag1,delta_y_lag5
4142.0,0.6332574843372022,0.6384526094250034,-0.005195125087801178,-0.009115531430862855,-0.013800969037045419
4202.0,0.6292532090285443,0.6332574843372022,-0.004004275308657879,-0.005195125087801178,-0.007348288242806533
4262.0,0.621375049856048,0.6292532090285443,-0.007878159172496346,-0.004004275308657879,-0.01158490067674478
4322.0,0.6147086940802213,0.621375049856048,-0.006666355775826638,-0.007878159172496346,0.007526252471392492
4382.0,0.6085101476603465,0.6147086940802213,-0.006198546419874829,-0.006666355775826638,-0.009115531430862855
4442.0,0.5963308817765826,0.6085101476603465,-0.012179265883763946,-0.006198546419874829,-0.005195125087801178
4502.0,0.6017268938480274,0.5963308817765826,0.0053960120714448,-0.012179265883763946,-0.004004275308657879
4562.0,0.5986962561549527,0.6017268938480274,-0.003030637693074656,0.0053960120714448,-0.007878159172496346
4622.0,0.5971872555481391,0.5986962561549527,-0.001509000606813582,-0.003030637693074656,-0.006666355775826638
4682.0,0.6030016038306611,0.5971872555481391,0.0058143482825220305,-0.001509000606813582,-0.006198546419874829
4742.0,0.598089427884,0.6030016038306611,-0.004912175946661157,0.0058143482825220305,-0.012179265883763946
4802.0,0.6047094803349974,0.598089427884,0.0066200524509973935,-0.004912175946661157,0.0053960120714448
4862.0,0.5956427047643812,0.6047094803349974,-0.009066775570616192,0.0066200524509973935,-0.003030637693074656
4922.0,0.5982435164290046,0.5956427047643812,0.002600811664623448,-0.009066775570616192,-0.001509000606813582
4982.0,0.5908970454134614,0.5982435164290046,-0.007346471015543199,0.002600811664623448,0.0058143482825220305
5042.0,0.5841470824705843,0.5908970454134614,-0.006749962942877108,-0.007346471015543199,-0.004912175946661157
5102.0,0.5866041701378265,0.5841470824705843,0.002457087667242175,-0.006749962942877108,0.0066200524509973935
5162.0,0.5799811485041358,0.5866041701378265,-0.006623021633690662,0.002457087667242175,-0.009066775570616192
5222.0,0.5757048913943521,0.5799811485041358,-0.004276257109783743,-0.006623021633690662,0.002600811664623448
5282.0,0.5768005457231584,0.5757048913943521,0.001095654328806317,-0.004276257109783743,-0.007346471015543199
